101,Andrew,Aa,Computer Science,Graduate,Andrew08
102,Brian,Bb,Math,Graduate,Brian08
103,Charlie,Cc,Computer Science,Graduate,Charlie08
104,Dan,Dd,Math,Graduate,Dan08
105,Erik,Ee,Math,Undergraduate,Erik08
106,Frank,Ff,Computer Science,Undergraduate,Frank08
107,Greg,Gg,Computer Science,Undergraduate,Greg08
108,Hillary,Hh,Computer Science,Graduate,Hillary08
109,India,Ii,Biology,Graduate,India08
110,Jon,Jj,Biology,Graduate,Jon08
111,Kevin,Kk,Biology,Undergraduate,Kevin08
112,Leo,Ll,Computer Science,Graduate,Leo08
113,Mike,Mm,Computer Science,Undergraduate,Mike08
114,Nick,Nn,Biology,Graduate,Nick08
115,Oscar,Oo,Biology,Undergraduate,Oscar08
116,Pam,Pp,Computer Science,Undergraduate,Pam08
117,Queen,Qq,Biology,Undergraduate,Queen08
118,Rick,Rr,Computer Science,Undergraduate,Rick08
119,Stan,Ss,Biology,Undergraduate,Stan08
120,Tim,Tt,Biology,Graduate,Tim08
121,Uma,Uu,Biology,Undergraduate,Uma08
122,Victor,Vv,Math,Undergraduate,Victor08
123,Wes,Ww,Biology,Graduate,Wes08
124,Xena,Xx,Computer Science,Undergraduate,Xena08
125,Yas,Yy,Biology,Undergraduate,Yas08
126,Zack,Zz,Math,Graduate,Zack08
127,OscarA,Oo,Biology,Undergraduate,OscarA08
128,PamA,Pp,Computer Science,Undergraduate,PamA08
129,QueenA,Qq,Biology,Undergraduate,QueenA08
130,RickA,Rr,Computer Science,Undergraduate,RickA08
131,StanA,Ss,Biology,Undergraduate,StanA08
132,TimA,Tt,Biology,Graduate,TimA08
133,UmaA,Uu,Biology,Undergraduate,UmaA08
134,VictorA,Vv,Math,Undergraduate,VictorA08
135,WesA,Ww,Biology,Graduate,WesA08
136,XenaA,Xx,Computer Science,Undergraduate,XenaA08
137,YasA,Yy,Biology,Undergraduate,YasA08
138,ZackA,Zz,Math,Graduate,ZackA08
